ID_Transaksi,Tanggal,Nama_Produk,Kategori,Jumlah,Harga_Satuan,Total_Harga
TRX-1001,2024-01-05,Smartphone X,Elektronik,2,3500000,7000000
TRX-1002,2024-01-12,Laptop Pro 14,Komputer,1,12000000,12000000
TRX-1003,2024-01-20,Keyboard Mechanical,Aksesoris,5,750000,3750000
TRX-1004,2024-01-28,Monitor 24 Inch,Elektronik,2,2100000,4200000
TRX-1005,2024-02-03,Mouse Wireless,Aksesoris,10,150000,1500000
TRX-1006,2024-02-10,Smartphone X,Elektronik,1,3500000,3500000
TRX-1007,2024-02-15,Headset Gaming,Aksesoris,3,600000,1800000
TRX-1008,2024-02-22,Laptop Pro 14,Komputer,1,12000000,12000000
TRX-1009,2024-02-25,Webcam HD,Aksesoris,4,450000,1800000
TRX-1010,2024-02-28,Speaker Bluetooth,Elektronik,2,800000,1600000
